iter	Passed	Remaining
1163	91779	7793067
1164	91859	7793039
1165	91931	7792387
1166	92019	7793129
1167	92097	7793000
1168	92176	7792899
1169	92261	7793366
1170	92345	7793682
1171	92427	7793909
1172	92505	7793756
1173	92579	7793227
1174	92652	7792685
1175	92731	7792637
1176	92809	7792488
1177	92899	7793310
1178	92977	7793134
1179	93054	7792948
1180	93128	7792398
1181	93209	7792526
1182	93287	7792363
1183	93365	7792197
1184	93457	7793228
1185	93535	7793131
1186	93631	7794480
1187	93701	7793624
1188	93781	7793615
1189	93859	7793475
1190	93935	7793175
1191	94015	7793221
1192	94099	7793565
1193	94171	7792916
1194	94253	7793050
1195	94332	7792996
1196	94407	7792577
1197	94483	7792258
1198	94558	7791915
1199	94646	7792552
1200	94717	7791861
1201	94798	7791942
1202	94876	7791763
1203	94949	7791223
1204	95023	7790727
1205	95105	7790937
1206	95183	7790734
1207	95262	7790676
1208	95335	7790138
1209	95413	7790002
1210	95489	7789675
1211	95570	7789815
1212	95655	7790210
1213	95730	7789796
1214	95812	7790024
1215	95892	7789964
1216	95971	7789933
1217	96047	7789600
1218	96128	7789701
1219	96206	7789572
1220	96282	7789245
1221	96365	7789519
1222	96443	7789354
1223	96523	7789351
1224	96600	7789143
1225	96677	7788922
1226	96755	7788771
1227	96839	7789090
1228	96908	7788267
1229	96994	7788706
1230	97089	7789921
1231	97166	7789696
1232	97245	7789665
1233	97322	7789389
1234	97394	7788834
1235	97476	7788940
1236	97552	7788688
1237	97629	7788446
1238	97703	7787961
1239	97782	7787868
1240	97855	7787353
1241	97934	7787252
1242	98011	7787030
1243	98094	7787310
1244	98170	7787013
1245	98257	7787572
1246	98336	7787532
1247	98418	7787698
1248	98501	7787964
1249	98585	7788237
1250	98664	7788205
1251	98739	7787771
1252	98818	7787717
1253	98900	7787922
1254	98985	7788334
1255	99074	7789023
1256	99160	7789470
1257	99233	7788982
1258	99314	7789015
1259	99394	7789046
1260	99467	7788503
1261	99543	7788226
1262	99622	7788149
1263	99694	7787495
1264	99768	7787036
1265	99851	7787306
1266	99928	7787094
1267	100009	7787202
1268	100092	7787432
1269	100170	7787234
1270	100303	7791400
1271	100392	7792134
1272	100469	7791838
1273	100551	7792060
1274	100634	7792293
1275	100713	7792218
1276	100792	7792151
1277	100873	7792219
1278	100948	7791850
1279	101030	7791998
1280	101116	7792452
1281	101195	7792344
1282	101274	7792257
1283	101357	7792534
1284	101443	7793005
1285	101521	7792859
1286	101601	7792813
1287	101676	7792485
1288	101759	7792731
1289	101843	7792966
1290	101918	7792594
1291	101993	7792212
1292	102079	7792687
1293	102152	7792200
1294	102232	7792141
1295	102310	7792000
1296	102385	7791640
1297	102458	7791135
1298	102542	7791425
1299	102615	7790906
1300	102692	7790681
1301	102768	7790360
1302	102848	7790388
1303	102929	7790401
1304	103014	7790842
1305	103093	7790777
1306	103170	7790501
1307	103246	7790205
1308	103326	7790180
1309	103404	7790040
1310	103483	7790007
1311	103566	7790195
1312	103642	7789911
1313	103719	7789683
1314	103793	7789245
1315	103877	7789553
1316	103955	7789434
1317	104026	7788708
1318	104109	7788919
1319	104189	7788968
1320	104270	7788995
1321	104342	7788429
1322	104421	7788384
1323	104501	7788344
1324	104571	7787634
1325	104643	7787032
1326	104730	7787558
1327	104819	7788211
1328	104895	7787923
1329	104976	7788000
1330	105055	7787926
1331	105136	7788008
1332	105217	7788048
1333	105297	7788034
1334	105379	7788208
1335	105458	7788147
1336	105549	7788964
1337	105631	7789089
1338	105713	7789225
1339	105793	7789250
1340	105879	7789652
1341	105960	7789743
1342	106038	7789596
1343	106115	7789374
1344	106193	7789261
1345	106267	7788782
1346	106345	7788677
1347	106423	7788476
1348	106499	7788184
1349	106594	7789268
1350	106675	7789385
1351	106755	7789339
1352	106835	7789353
